Cust_Id,City,age,MonthlyIncome,MinBal,MaxBal,Age with Bank
10015,Mumbai,27,12880,2742,11425,1
10016,Pune,25,11612,2982,12370,1
10017,Mumbai,28,15614,3510,14144,1
10018,Mumbai,29,19278,4088,10179,1
10019,Nashik,27,15281,4134,10051,1
10020,Nashik,28,19230,2779,11457,1
10021,Nashik,25,17562,2690,10505,1
10022,Pune,28,12144,2542,14162,1
10023,Mumbai,28,14688,4187,14997,1
10024,Aurangabad,27,17927,3806,14839,1
10025,Kolhapur,28,15474,4039,10455,1
10026,Kolhapur,27,16739,4145,13004,1
10027,Aurangabad,28,19610,3312,13048,1
10028,Aurangabad,29,19709,4609,12641,1
90029,Mumbai,28,12766,0,45446,1
90030,Mumbai,28,10805,0,45686,1
90031,Pune,25,15766,0,56360,1
90032,Mumbai,25,5177,0,56921,1
10036,Nashik,28,7882,4906,10589,1
10037,Nashik,25,9270,3956,11221,1
10038,Pune,27,13786,4448,13427,1
10039,Mumbai,28,9357,4940,11857,1
10040,Mumbai,25,13775,4968,14220,1
10041,Pune,26,9946,4065,11308,1
10042,Mumbai,25,15365,3246,14322,1
10043,Mumbai,29,7301,4685,13928,1
10044,Nashik,28,8638,3634,14588,1
10045,Nashik,28,10372,4965,11436,1
10046,Nashik,26,11243,4173,13019,1
10047,Pune,25,17448,2727,13472,1
10048,Mumbai,25,11762,4751,11811,1
10049,Mumbai,25,18160,3841,10486,1
10050,Nashik,26,12062,3908,10928,1
10051,Nashik,26,17462,4145,10639,1
10052,Nashik,27,15109,3225,11261,1
10053,Pune,29,14410,3437,13382,1
10054,Mumbai,26,16475,4671,13735,1
10055,Aurangabad,29,11335,2887,10501,1
10056,Kolhapur,28,19316,3896,11099,1
10057,Kolhapur,28,12493,2916,11273,1
10058,Aurangabad,25,7781,3027,11668,1
10059,Aurangabad,26,15417,2767,12435,1
90043,Aurangabad,26,19003,0,54491,1
90044,Aurangabad,25,19077,0,41608,1
90045,Kolhapur,27,17806,0,65631,1
90046,Nashik,27,15372,0,48152,1
90047,Pune,28,15259,0,55196,1
90048,Mumbai,28,8461,0,54754,1
90049,Aurangabad,27,11157,0,48451,1
90050,Kolhapur,28,16982,0,61829,1
90051,Kolhapur,25,9236,0,47606,1
90052,Aurangabad,26,7590,0,60982,1
10073,Nashik,29,15404,4595,11645,1
10074,Nashik,28,13653,4038,10285,1
10075,Pune,25,12803,4802,13579,1
10076,Mumbai,27,8670,4513,10362,1
10077,Mumbai,26,8501,3177,11029,1
10078,Pune,26,16025,4097,10176,1
10079,Mumbai,26,9122,2594,13354,1
10080,Mumbai,29,9478,4165,11273,1
10081,Nashik,27,13018,3252,14195,1
10082,Nashik,28,11743,4990,12832,1
10083,Nashik,28,13178,4389,12807,1
10084,Nashik,29,17919,3633,12902,1
10085,Pune,26,17379,4369,13529,1
10086,Mumbai,27,17983,4971,13515,1
10087,Aurangabad,26,10052,3899,13659,1
10088,Kolhapur,25,16294,4387,10084,1
10089,Kolhapur,29,14621,2953,11321,1
10090,Aurangabad,27,9869,4442,10033,1
10091,Aurangabad,29,9792,4412,10696,1
10092,Kolhapur,28,13210,4997,10333,1
10093,Nashik,27,17744,4441,14212,1
10094,Pune,26,15230,2522,10233,1
10095,Mumbai,28,7704,3067,13827,1
10096,Aurangabad,26,5628,3530,10671,1
10097,Kolhapur,29,15419,2687,13622,1
10098,Kolhapur,26,5743,4414,13981,1
10099,Aurangabad,28,15718,4218,11549,1
10100,Aurangabad,27,6762,3371,12260,1
10101,Kolhapur,27,8785,4847,10974,1
10102,Mumbai,28,14730,2797,13352,1
10103,Pune,28,6283,2873,11303,1
10104,Mumbai,25,14230,4401,13002,1
10105,Mumbai,25,14690,3276,14781,1
10106,Nashik,29,11233,3522,14001,1
10107,Nashik,29,19130,3471,10705,1
10108,Nashik,28,7978,2757,13086,1
10109,Pune,28,7964,3799,11718,1
10110,Mumbai,28,19893,4424,12170,1
10111,Aurangabad,28,9490,2550,14015,1
10112,Kolhapur,25,13069,2814,14751,1
10113,Kolhapur,27,18253,4358,11764,1
10114,Aurangabad,28,9244,4516,11279,1
10115,Aurangabad,27,7466,3840,12103,1
10116,Kolhapur,29,13202,4349,13948,1
10117,Solapur,27,9378,4076,11970,1
10118,Mumbai,25,13386,3014,13387,1
10119,Pune,25,5741,3810,13152,1
10120,Mumbai,28,6779,4644,14379,1
10121,Mumbai,26,10607,2582,13100,1
10122,Nashik,25,11943,4961,13596,1
10123,Nashik,25,12362,4354,13087,1
10124,Nashik,29,6348,4947,13172,1
10125,Pune,29,6971,3511,13394,1
10126,Mumbai,28,11177,4065,10917,1
10127,Mumbai,27,5190,3572,13477,1
10128,Pune,29,13918,3386,11559,1
10129,Mumbai,29,14581,3597,13693,1
10130,Mumbai,25,6300,4891,10507,1
10131,Nashik,28,5823,3449,14815,1
10132,Nashik,29,7577,4763,12549,1
10133,Nashik,29,8285,3758,12335,1
10134,Pune,26,15841,3601,14165,1
10135,Mumbai,27,18283,3849,13139,1
10136,Mumbai,29,11222,4320,13977,1
10137,Nashik,28,5558,4200,13050,1
10138,Nashik,26,14862,4825,10037,1
10139,Nashik,26,10828,4119,13674,1
10140,Pune,27,16222,4394,10249,1
10141,Mumbai,25,17678,3240,11277,1
10142,Aurangabad,25,19304,2551,12596,1
10143,Kolhapur,28,9524,2598,12980,1
10144,Kolhapur,25,14111,4859,13818,1
10145,Aurangabad,25,14310,3210,13950,1
10146,Aurangabad,27,6760,4958,13381,1
10147,Kolhapur,27,5251,4499,11626,1
10148,Solapur,29,7284,3590,14518,1
10149,Mumbai,27,16635,3500,13384,1
10150,Kolhapur,28,6025,4751,10688,1
10151,Aurangabad,27,16304,3572,14798,1
10152,Aurangabad,29,6644,3715,13991,1
10153,Kolhapur,29,6142,4796,12652,1
10154,Solapur,27,5261,4903,12853,1
10155,Mumbai,25,16066,3426,10499,1
